pair,case_id,noise_rate,seed,correct_top1_a,correct_top1_b,delta_correct_top1,brier_score_a,brier_score_b,delta_brier_score,total_atomic_questions_a,total_atomic_questions_b,delta_total_atomic_questions,verification_questions_a,verification_questions_b,delta_verification_questions,unnecessary_verifications_a,unnecessary_verifications_b,delta_unnecessary_verifications
corrected_vs_heuristic,11076,0.2,2027.0,0,1,-1.0,0.92718573,0.19768914,0.72949659,15,15,0.0,1,1,0.0,1,1,0.0
corrected_vs_heuristic,11076,0.2,2028.0,0,0,0.0,1.80446664,1.97481902,-0.17035238,5,9,-4.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,11076,0.3,2026.0,0,0,0.0,1.25297533,1.97859271,-0.72561738,15,15,0.0,1,1,0.0,1,1,0.0
corrected_vs_heuristic,11076,0.3,2027.0,0,0,0.0,1.00117082,1.97288911,-0.97171829,15,10,5.0,1,1,0.0,1,0,1.0
corrected_vs_heuristic,11076,0.3,2028.0,0,0,0.0,1.65878508,1.78199709,-0.12321201,15,14,1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111597,0.2,2026.0,1,1,0.0,0.00526281,0.00526281,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,111597,0.2,2027.0,1,1,0.0,0.00638838,5.837e-05,0.00633001,3,4,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111597,0.2,2028.0,1,1,0.0,0.00526281,0.00526281,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,111597,0.3,2026.0,1,1,0.0,0.00526281,0.00526281,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,111597,0.3,2027.0,1,1,0.0,0.00066156,0.00066156,0.0,7,7,0.0,1,1,0.0,0,0,0.0
corrected_vs_heuristic,111597,0.3,2028.0,1,1,0.0,0.00087967,0.00024838,0.00063129,3,5,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111718,0.2,2026.0,1,1,0.0,0.00837912,0.62438771,-0.61600859,12,15,-3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111718,0.2,2027.0,1,1,0.0,0.75152258,8.822e-05,0.75143436,15,11,4.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,111718,0.2,2028.0,1,1,0.0,0.02353445,0.00025594,0.02327851,15,14,1.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,111718,0.3,2026.0,1,1,0.0,0.00072526,0.00107227,-0.00034701,11,9,2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,111718,0.3,2027.0,1,1,0.0,0.01147802,0.00053748,0.01094054,11,13,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111718,0.3,2028.0,0,1,-1.0,1.03618115,0.01345997,1.02272118,15,14,1.0,1,1,0.0,1,0,1.0
corrected_vs_heuristic,111892,0.2,2026.0,0,1,-1.0,0.96876136,0.0146301,0.95413126,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,111892,0.2,2027.0,1,1,0.0,0.00680424,9.043e-05,0.00671381,12,15,-3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111892,0.2,2028.0,0,1,-1.0,1.72819893,0.52702614,1.20117279,4,15,-11.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,111892,0.3,2026.0,1,1,0.0,0.28502195,0.00452263,0.28049932,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,111892,0.3,2027.0,1,1,0.0,0.00664107,0.62376196,-0.61712089,12,15,-3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,111892,0.3,2028.0,0,0,0.0,0.99086893,0.59283083,0.3980381,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,112339,0.2,2026.0,0,0,0.0,1.73675304,1.54848277,0.18827027,14,15,-1.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,112339,0.2,2027.0,0,0,0.0,1.85913587,1.05152134,0.80761453,3,15,-12.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,112339,0.2,2028.0,0,0,0.0,1.85428121,1.83927904,0.01500217,12,14,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,112339,0.3,2026.0,1,1,0.0,0.63878365,0.59147152,0.04731213,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,112339,0.3,2027.0,1,1,0.0,0.65915397,0.28081503,0.37833894,15,15,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,112339,0.3,2028.0,1,1,0.0,0.01042061,0.30561581,-0.2951952,11,15,-4.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,112884,0.2,2026.0,0,1,-1.0,1.85186501,0.39435377,1.45751124,10,15,-5.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,112884,0.2,2027.0,1,1,0.0,0.37714969,0.0086865,0.36846319,15,12,3.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,112884,0.2,2028.0,1,1,0.0,0.02893768,0.01514065,0.01379703,4,5,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,112884,0.3,2026.0,1,0,1.0,0.87681443,1.00661955,-0.12980512,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,112884,0.3,2027.0,1,1,0.0,0.02244298,0.00813736,0.01430562,4,5,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,112884,0.3,2028.0,1,1,0.0,0.026972,0.01417427,0.01279773,6,7,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114028,0.2,2026.0,1,0,1.0,0.00311678,1.83500269,-1.83188591,3,9,-6.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114028,0.2,2027.0,1,1,0.0,0.00275921,0.00807838,-0.00531917,9,7,2.0,1,1,0.0,1,1,0.0
corrected_vs_heuristic,114028,0.2,2028.0,1,1,0.0,0.00023747,0.00863089,-0.00839342,7,8,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,114028,0.3,2026.0,1,1,0.0,0.00020261,3.383e-05,0.00016878,3,8,-5.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,114028,0.3,2027.0,1,1,0.0,0.00020261,0.00121913,-0.00101652,3,6,-3.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114028,0.3,2028.0,1,1,0.0,0.00311166,0.0012099,0.00190176,3,14,-11.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,114042,0.2,2026.0,1,1,0.0,0.00022659,0.00022659,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114042,0.2,2027.0,1,1,0.0,0.00022659,0.00022659,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114042,0.2,2028.0,1,1,0.0,0.00017476,0.00017476,0.0,4,4,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114042,0.3,2026.0,1,1,0.0,0.00042249,0.00042249,0.0,4,4,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114042,0.3,2027.0,1,1,0.0,0.00022659,0.00022659,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114042,0.3,2028.0,1,1,0.0,0.00025325,0.00025325,0.0,3,3,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,114245,0.2,2026.0,1,1,0.0,0.01737128,0.00629854,0.01107274,13,12,1.0,0,1,-1.0,0,1,-1.0
